person_id,q1,response_time_seconds_1,q2,response_time_seconds_2,q3,response_time_seconds_3,q4,response_time_seconds_4,q5,response_time_seconds_5,q6,response_time_seconds_6,q7,response_time_seconds_7,q8,response_time_seconds_8,q9,response_time_seconds_9,q10,response_time_seconds_10,latitude,longitude
USR_764B9E0F,A,19.34,B,22.02,D,18.31,B,15.61,B,11.59,C,16.62,B,10.3,B,13.59,B,24.69,D,19.42,18.7619,72.891
USR_67F55F45,A,16.65,B,23.04,A,19.53,A,19.06,B,15.48,C,18.68,C,12.59,A,22.98,D,17.01,C,23.45,27.0328,77.5928
USR_DD8D717A,B,10.25,C,18.65,B,15.12,C,13.03,B,17.35,B,24.31,A,13.41,B,14.99,B,18.55,A,20.14,18.1077,73.4443
USR_E144D4BF,B,21.17,A,14.47,C,17.01,B,11.59,C,14.53,A,20.14,A,13.1,B,15.92,A,22.74,A,10.13,25.3451,79.5581
USR_D9400A74,D,19.81,A,15.53,B,16.62,C,23.9,B,24.9,C,24.03,A,21.83,B,21.15,D,16.13,B,20.43,22.4874,80.6269
USR_AFC2D29C,D,5.03,C,30.55,D,13.42,A,4.99,C,20.46,D,34.01,D,17.92,D,2.45,D,31.37,D,4.68,13.1713,76.1704
USR_B8A4DDFA,B,11.69,A,7.6,A,7.03,A,10.0,C,11.5,B,6.65,B,11.38,A,8.25,D,5.93,A,5.36,29.81,76.0942
USR_21BFAD9E,A,14.77,A,20.57,B,23.12,C,24.94,A,12.51,A,23.41,B,18.94,B,17.35,B,13.89,B,20.35,28.0293,78.8019
USR_8C21ADB5,B,20.49,B,11.95,C,17.56,C,24.93,D,19.43,A,10.11,A,13.42,A,17.96,D,12.92,A,17.44,23.3459,80.7253
USR_7CDB1FCD,C,24.44,C,17.91,B,18.17,D,24.22,A,22.75,A,13.53,B,10.7,A,16.12,B,19.04,C,23.37,17.3343,71.437
USR_3BDEE864,D,20.09,A,23.65,C,18.63,A,20.94,A,21.71,A,20.64,B,14.36,B,17.22,B,14.11,A,10.68,22.1263,77.6584
USR_374E21C2,D,5.79,A,9.28,A,9.25,A,5.8,A,10.53,A,8.71,A,11.63,A,6.24,D,9.48,A,7.08,12.344,79.5439
USR_C24FEE21,B,23.3,B,24.34,C,17.28,C,11.92,C,11.8,A,23.58,A,20.6,C,20.65,C,21.94,C,15.74,18.3053,72.0728
USR_E03FA4C4,A,7.5,B,11.1,A,5.0,A,9.46,A,7.47,B,8.91,A,5.19,D,5.13,A,9.15,A,11.95,27.3774,78.7713
USR_B818A5E1,D,8.61,B,11.98,A,6.82,A,6.16,A,6.84,B,9.89,A,5.95,A,8.62,A,5.04,A,5.7,13.3287,79.2463
USR_2CF4C743,C,27.19,C,26.65,D,29.41,B,14.08,B,38.95,D,2.33,C,26.19,C,24.43,B,3.02,D,29.89,26.9772,77.6862
USR_5B908408,D,31.25,C,25.75,C,13.92,D,30.07,D,7.66,C,4.83,B,17.93,B,19.41,C,24.54,D,30.19,26.6369,76.7248
USR_136208A8,A,8.6,B,7.0,A,5.88,A,11.43,A,11.14,A,11.28,A,6.33,B,7.72,D,11.52,A,8.54,24.5666,80.5115
USR_952A1EAB,D,9.0,A,8.37,A,5.84,A,5.81,A,11.21,A,11.79,A,6.45,A,10.6,B,10.62,A,8.83,30.039,76.4397
USR_AE779D6C,D,28.73,D,28.68,B,3.08,D,9.54,B,24.26,A,33.24,D,8.37,D,39.84,C,22.06,D,27.54,13.5963,75.7487
USR_A2F9D7FE,C,17.59,B,11.48,B,17.16,D,14.39,B,18.27,B,19.07,C,15.44,C,20.19,C,16.24,D,12.45,11.8437,75.8752
USR_2872E1BF,C,13.07,C,22.4,B,9.75,D,9.69,B,19.76,D,21.38,D,5.56,B,22.35,D,2.42,C,16.96,12.727,78.621
USR_97505443,A,8.64,D,8.65,A,6.42,A,7.96,B,9.05,A,5.81,A,7.3,D,8.85,B,10.77,A,7.57,22.4009,78.7082
USR_7FFFF03D,C,18.79,B,17.78,C,18.92,C,21.02,C,14.75,C,12.37,C,13.76,C,12.27,B,14.52,B,21.02,26.6776,79.3735
USR_E15BB985,C,38.71,C,26.31,D,32.8,C,39.93,D,20.54,D,25.66,B,31.06,D,27.91,D,28.45,C,3.28,28.527,76.8587
USR_7757FC3F,C,20.06,B,19.26,B,16.0,A,21.28,B,15.47,B,15.1,D,19.35,A,11.43,C,14.42,B,12.95,27.5227,79.6709
USR_EE39712C,A,23.81,B,12.91,D,23.13,A,20.07,C,20.24,B,20.21,C,16.23,D,17.57,C,13.61,B,23.16,24.5518,80.4069
USR_528DE5D0,B,11.78,A,12.79,A,21.74,B,16.77,C,17.96,C,21.75,C,23.51,B,15.42,B,13.86,C,11.66,28.7427,76.7253
USR_C057B699,C,16.62,A,22.2,A,15.11,C,12.13,C,17.31,D,13.15,C,12.46,C,21.12,B,16.61,B,18.36,14.6924,76.3298
USR_C3B556E0,A,5.96,A,8.15,A,5.93,A,5.86,A,11.53,B,10.93,A,8.7,B,6.92,A,11.62,A,6.43,23.9398,79.29
USR_7F85AC56,B,23.9,B,15.2,D,13.15,B,12.19,B,17.23,B,14.73,C,22.71,D,18.6,A,22.59,D,10.26,28.3025,78.0863
USR_9362CDB5,C,23.06,C,12.5,D,21.81,C,18.21,C,15.06,B,20.84,A,11.1,B,17.9,A,18.85,C,19.35,28.534,76.564
USR_47D0FF5B,B,18.75,B,11.04,A,10.66,B,24.8,B,20.12,A,19.22,D,23.63,B,17.87,C,16.63,B,20.97,18.8673,71.2194
USR_D7CB68F5,D,34.27,B,20.06,B,28.29,B,29.48,B,17.63,C,9.25,C,23.08,D,27.89,C,20.78,D,23.16,29.006,78.0343
USR_D8A54932,B,7.46,A,6.51,A,5.67,B,9.16,A,11.78,B,5.84,A,11.04,A,5.16,A,11.65,A,9.01,29.6735,78.9088
USR_2FBFF6F3,C,21.36,B,18.28,B,17.92,B,23.91,D,15.78,D,11.0,D,20.33,A,21.02,A,15.58,B,14.66,21.7351,77.5644
USR_29E2E72B,B,19.9,A,24.02,A,19.87,C,17.43,B,11.27,A,15.5,B,12.7,C,24.41,B,22.68,C,14.5,21.9341,78.0685
USR_A449E3B4,A,9.38,D,8.41,A,5.63,A,7.05,A,10.6,D,10.28,A,8.69,A,8.2,A,7.64,A,10.35,26.2,81.033
USR_0089E28E,A,18.18,B,15.63,B,16.19,D,14.18,D,11.64,C,21.01,B,10.61,A,16.91,A,15.96,D,20.05,27.551,76.8305
USR_55AF9410,A,12.78,A,14.64,A,23.6,C,22.55,A,13.83,B,15.69,B,18.78,B,12.67,C,20.98,B,15.31,19.7415,71.2025
USR_86269C65,C,4.44,C,32.08,C,28.4,D,16.92,A,25.09,A,20.85,B,38.55,D,15.38,B,16.54,C,19.29,22.9611,79.2641
USR_C4AC0E30,A,9.78,A,8.62,A,7.15,A,11.5,A,9.53,A,6.39,A,5.02,A,8.96,C,7.31,B,6.49,20.112,72.9824
USR_208DEB74,A,7.49,B,7.89,A,7.51,A,5.95,D,6.71,A,6.99,A,9.31,A,9.99,A,8.93,B,8.42,24.292,78.9995
USR_659C2DA4,C,13.79,B,20.85,B,18.05,B,16.9,B,17.65,A,15.2,B,13.04,B,19.52,C,14.22,C,12.4,29.7302,78.2492
USR_49429177,B,9.29,C,11.54,B,5.37,A,11.22,B,5.05,D,9.43,A,5.66,D,9.67,A,9.4,B,11.01,14.5777,76.3905
USR_73BB70B3,B,23.83,B,15.48,B,23.97,C,10.72,B,20.31,B,22.78,B,23.97,B,16.95,D,18.88,B,11.89,26.4237,79.0471
USR_EC25A69C,C,16.54,C,11.11,D,19.99,A,20.97,C,12.67,A,11.79,C,18.95,B,12.15,B,14.52,A,21.11,14.9541,79.0133
USR_0C4227AF,B,8.7,B,11.36,B,9.82,A,5.74,A,7.96,A,6.45,A,10.94,A,8.26,D,5.85,A,5.48,19.7553,71.1465
USR_93FDBF1E,B,11.91,D,11.99,B,5.21,A,7.74,A,6.77,C,11.65,A,5.71,A,8.8,A,9.65,A,6.03,24.0491,80.925
USR_2DD7B51D,C,21.21,A,24.11,B,19.54,C,22.49,B,18.72,C,17.33,C,17.7,B,21.12,B,14.55,B,19.88,17.501,74.8157
USR_89AE624A,C,31.84,C,24.21,C,11.89,B,15.31,D,8.47,D,37.76,C,29.57,D,34.83,C,39.69,C,24.04,14.3373,75.664
USR_75338BCD,D,17.51,B,20.24,D,18.42,B,12.6,D,11.42,B,21.49,A,10.67,B,16.71,C,20.8,B,16.45,27.9194,78.1842
USR_5ADBE146,B,22.35,A,17.13,B,20.95,B,17.41,B,11.16,B,16.18,C,23.96,B,22.95,B,10.98,A,22.51,23.7147,77.2044
USR_C3B367C6,B,10.73,A,6.82,A,11.05,A,5.67,A,10.26,C,6.56,A,9.8,A,7.99,A,10.43,A,10.75,26.4098,79.9111
USR_DFD4FA0F,A,18.68,B,22.76,B,14.51,B,23.79,B,20.12,D,20.97,A,21.34,B,11.42,A,14.19,A,16.28,24.0915,80.5274
USR_9ECAECCF,B,5.12,A,5.64,B,11.09,A,7.57,B,8.21,A,6.65,A,11.73,A,10.34,A,7.09,B,10.93,21.0402,73.0768
USR_62443D25,A,7.29,A,11.98,B,8.29,A,5.88,B,5.34,A,9.34,A,11.25,A,10.31,A,10.6,A,8.01,14.0377,76.5536
USR_E735C830,A,21.86,D,24.42,B,23.42,B,10.2,D,23.92,B,24.77,C,18.01,B,20.04,B,13.82,C,21.01,13.9023,76.814
USR_76866BCF,B,16.29,A,20.27,C,21.67,B,16.18,C,10.24,D,20.44,A,23.28,C,21.77,A,18.75,A,22.86,20.5183,71.4062
USR_D657A6C9,B,20.37,A,19.1,C,10.52,B,13.87,A,22.16,B,14.58,A,13.08,A,21.55,B,19.86,C,13.91,27.8568,82.7948
USR_31F32C09,B,25.06,D,10.42,B,32.25,A,37.95,D,36.66,C,34.35,C,15.37,D,9.33,C,9.36,D,6.34,27.8567,75.3205
USR_89B08D42,C,15.9,C,22.15,A,21.01,A,21.08,C,12.75,A,23.95,B,16.94,C,24.05,C,18.47,C,17.39,22.0594,77.8466
USR_FF148CA2,A,15.88,C,19.73,B,16.83,B,14.4,D,16.63,C,10.33,C,18.36,D,14.31,A,23.44,B,21.15,25.2584,82.4604
USR_7AB79C69,A,11.7,B,13.43,A,20.49,A,15.19,D,22.34,B,22.0,A,21.53,B,14.91,B,24.81,B,18.52,11.0281,79.1019
USR_6EFF7A2E,A,11.86,B,9.35,A,10.35,A,11.31,A,5.03,B,11.88,A,10.66,A,7.6,A,11.91,A,10.86,22.5943,78.3956
USR_75C844E0,C,11.22,C,11.03,C,24.97,A,13.47,B,22.7,A,14.67,A,19.71,B,16.76,B,11.56,B,16.62,28.0692,80.8225
USR_56F4EF6F,B,15.36,C,12.0,A,13.1,A,17.84,B,12.93,C,20.66,B,24.92,A,21.76,D,19.78,A,14.2,11.743,77.5673
USR_3D4283C2,C,11.7,C,20.3,C,21.39,C,20.75,A,19.73,B,15.98,A,21.5,A,23.73,A,20.7,C,10.73,13.3892,77.1486
USR_19B48CC6,A,19.96,B,16.22,C,22.44,B,14.01,C,14.36,D,20.88,A,17.26,D,22.17,D,20.31,B,23.63,28.9757,78.0991
USR_48DDF86C,A,8.08,B,6.02,B,8.12,A,8.38,A,11.96,A,8.88,A,7.77,A,8.41,A,9.68,B,9.3,21.8311,80.7071
USR_F6B2D6C7,D,28.84,C,32.06,B,34.46,C,27.49,D,22.69,D,28.56,D,5.8,B,32.72,D,29.88,C,16.14,22.0263,78.1439
USR_36ABF3AD,B,24.49,A,19.67,B,11.29,C,23.49,A,21.66,A,11.22,A,20.48,B,10.2,A,19.95,C,19.22,22.5766,78.2931
USR_F5D83010,B,14.96,D,12.59,B,19.55,C,12.71,A,17.09,B,15.83,B,12.68,D,13.92,B,21.81,B,23.74,18.2725,73.2289
USR_2C2AD9A4,B,16.84,B,11.09,B,12.12,C,23.06,B,24.46,A,20.26,C,17.57,B,11.89,D,14.66,C,13.7,14.7249,76.5744
USR_D1380BED,B,14.87,C,23.53,A,17.71,C,17.24,C,11.66,A,17.45,B,11.94,C,24.0,D,23.25,B,10.27,22.8695,77.1263
USR_ADAFFF2C,D,7.68,D,7.52,A,7.03,D,12.44,C,39.91,D,21.68,C,39.53,D,22.07,C,15.01,D,7.3,27.6481,75.9462
USR_806C4D3A,A,14.44,C,21.47,B,10.12,B,15.52,B,13.64,A,21.0,B,14.55,B,13.37,A,14.08,A,21.89,26.8236,77.9715
USR_642692A8,A,7.28,A,8.36,B,9.62,A,5.17,A,5.51,A,6.17,A,6.43,A,7.58,A,6.0,A,10.67,24.377,80.7386
USR_D47A167D,A,9.52,A,10.96,A,8.14,A,10.35,D,10.37,A,7.33,A,8.34,A,11.33,D,8.96,B,10.14,29.6638,76.8291
USR_05AED58B,B,23.1,B,19.71,B,21.35,B,14.42,C,18.95,C,12.73,A,10.64,A,22.8,C,18.77,A,16.5,13.1827,78.9353
USR_A0998620,B,10.78,A,12.02,B,11.13,B,12.09,A,21.79,B,10.6,B,22.34,B,16.74,B,12.73,B,23.35,13.0452,78.9466
USR_09A26730,D,37.14,D,39.89,B,11.04,B,38.98,D,5.7,D,23.43,D,26.71,C,32.5,C,34.88,B,39.97,27.7798,80.8952
USR_416591A7,A,8.97,A,8.24,A,10.26,A,7.0,D,10.98,A,5.01,A,10.84,B,11.64,A,5.7,A,6.56,26.3384,79.7021
USR_F7ECCD31,B,18.43,A,14.86,A,12.14,C,10.05,B,24.23,A,11.53,A,21.58,B,13.65,B,14.62,D,13.43,12.2381,78.7466
USR_AC7230E3,B,15.07,C,37.43,D,29.39,C,13.64,D,35.63,D,39.91,A,31.39,A,23.83,A,21.26,C,38.99,17.7989,72.233
USR_A9DD320E,B,11.9,B,12.15,A,22.83,B,13.44,C,20.05,A,12.42,C,16.69,C,19.05,B,24.57,B,19.95,29.0784,75.332
USR_ABF6842D,C,26.2,B,13.09,A,9.06,D,19.28,C,11.73,D,14.48,D,31.88,B,18.54,C,23.88,A,24.92,19.4252,73.9964
USR_F5459398,A,7.98,A,6.19,A,8.18,B,11.57,B,7.26,A,8.47,D,5.73,A,10.64,A,11.51,A,6.45,24.7023,78.365
USR_A88EFCEE,D,8.36,B,9.65,A,7.16,A,10.2,A,8.58,D,7.32,A,6.58,B,6.58,A,9.22,B,5.32,13.9652,77.063
USR_AAE52CBB,A,19.99,A,18.39,B,22.71,B,16.44,B,16.04,A,15.52,C,11.44,A,16.55,B,23.59,A,23.27,24.8903,80.4612
USR_2A572634,B,24.81,B,21.93,C,20.02,B,14.21,B,13.35,C,16.93,C,13.73,A,15.64,C,16.51,B,22.26,28.2086,80.7817
USR_E43A1F59,C,24.5,B,21.42,D,12.15,C,15.71,C,10.26,D,18.45,B,15.63,B,22.57,C,13.57,A,13.81,12.4277,78.9389
USR_A5A9C43A,A,28.75,C,23.65,A,11.55,C,14.04,B,36.83,D,30.72,C,11.07,D,4.9,D,23.95,C,11.3,27.4053,77.4151
