person_id,on_time_flag,declared_turnover,gstr1_due_date,gstr1_filed_date,gstr3b_due_date,gstr3b_filed_date
USR_C7FAC327,TRUE,620706.34,2025-12-11,2025-12-11,2025-12-20,2025-12-20
USR_C7FAC327,TRUE,875600.03,2025-11-11,2025-11-11,2025-11-20,2025-11-20
USR_C7FAC327,TRUE,179930.53,2025-10-11,2025-10-11,2025-10-20,2025-10-20
USR_C7FAC327,TRUE,415735.58,2025-09-11,2025-09-11,2025-09-20,2025-09-20
USR_C7FAC327,TRUE,338357.08,2025-08-11,2025-08-11,2025-08-20,2025-08-20
USR_9D211AF5,TRUE,941049.64,2025-12-11,2025-12-11,2025-12-20,2025-12-20
USR_9D211AF5,TRUE,554918.48,2025-12-11,2025-12-11,2025-12-20,2025-12-20
USR_9D211AF5,TRUE,853712.57,2025-11-11,2025-11-11,2025-11-20,2025-11-20
USR_9D211AF5,TRUE,566531.28,2025-10-11,2025-10-11,2025-10-20,2025-10-20
USR_9D211AF5,TRUE,890294.65,2025-09-11,2025-09-11,2025-09-20,2025-09-20
USR_9D211AF5,TRUE,613172.53,2025-08-11,2025-08-11,2025-08-20,2025-08-20
USR_F1374429,TRUE,339468.44,2025-12-11,2025-12-11,2025-12-20,2025-12-20
USR_F1374429,TRUE,872308.6,2025-12-11,2025-12-11,2025-12-20,2025-12-20
USR_F1374429,TRUE,788347.25,2025-11-11,2025-11-11,2025-11-20,2025-11-20
USR_F1374429,TRUE,358940.81,2025-10-11,2025-10-11,2025-10-20,2025-10-20
USR_F1374429,TRUE,383613.42,2025-09-11,2025-09-11,2025-09-20,2025-09-20
USR_F1374429,TRUE,215172.73,2025-08-11,2025-08-11,2025-08-20,2025-08-20
USR_A9280717,TRUE,998909.5,2025-12-11,2025-12-11,2025-12-20,2025-12-20
USR_A9280717,TRUE,246215.1,2025-12-11,2025-12-11,2025-12-20,2025-12-20
USR_A9280717,TRUE,547492.79,2025-11-11,2025-11-11,2025-11-20,2025-11-20
USR_A9280717,TRUE,179489.18,2025-10-11,2025-10-11,2025-10-20,2025-10-20
USR_A9280717,TRUE,593871.1,2025-09-11,2025-09-11,2025-09-20,2025-09-20
USR_A9280717,TRUE,154390.95,2025-08-11,2025-08-11,2025-08-20,2025-08-20
USR_4BCB1944,TRUE,815946.86,2025-12-11,2025-12-11,2025-12-20,2025-12-20
USR_4BCB1944,TRUE,533799.28,2025-12-11,2025-12-11,2025-12-20,2025-12-20
USR_4BCB1944,TRUE,409355.38,2025-11-11,2025-11-11,2025-11-20,2025-11-20
USR_4BCB1944,TRUE,488241.1,2025-10-11,2025-10-11,2025-10-20,2025-10-20
USR_4BCB1944,TRUE,124664.73,2025-09-11,2025-09-11,2025-09-20,2025-09-20
USR_4BCB1944,TRUE,113394.26,2025-08-11,2025-08-11,2025-08-20,2025-08-20
USR_176D24A4,TRUE,345118.83,2025-12-11,2025-12-11,2025-12-20,2025-12-20
USR_176D24A4,TRUE,193944.72,2025-12-11,2025-12-11,2025-12-20,2025-12-20
USR_176D24A4,TRUE,745254.97,2025-11-11,2025-11-11,2025-11-20,2025-11-20
USR_176D24A4,TRUE,780026.84,2025-10-11,2025-10-11,2025-10-20,2025-10-20
USR_176D24A4,TRUE,678329.31,2025-09-11,2025-09-11,2025-09-20,2025-09-20
USR_176D24A4,TRUE,730876.35,2025-08-11,2025-08-11,2025-08-20,2025-08-20
USR_0924668B,TRUE,661668.15,2025-12-11,2025-12-11,2025-12-20,2025-12-20
USR_0924668B,TRUE,951330.76,2025-12-11,2025-12-11,2025-12-20,2025-12-20
USR_0924668B,TRUE,663108.03,2025-11-11,2025-11-11,2025-11-20,2025-11-20
USR_0924668B,TRUE,534912.97,2025-10-11,2025-10-11,2025-10-20,2025-10-20
USR_0924668B,TRUE,977306.3,2025-09-11,2025-09-11,2025-09-20,2025-09-20
USR_0924668B,TRUE,575601.11,2025-08-11,2025-08-11,2025-08-20,2025-08-20
USR_9DD92780,TRUE,709078.08,2025-12-11,2025-12-11,2025-12-20,2025-12-20
USR_9DD92780,TRUE,319650.47,2025-12-11,2025-12-11,2025-12-20,2025-12-20
USR_9DD92780,TRUE,631831.64,2025-11-11,2025-11-11,2025-11-20,2025-11-20
USR_9DD92780,TRUE,842148.98,2025-10-11,2025-10-11,2025-10-20,2025-10-20
USR_9DD92780,TRUE,410556.78,2025-09-11,2025-09-11,2025-09-20,2025-09-20
USR_9DD92780,TRUE,844887.43,2025-08-11,2025-08-11,2025-08-20,2025-08-20
USR_B0372D80,TRUE,828649.88,2025-12-11,2025-12-11,2025-12-20,2025-12-20
USR_B0372D80,TRUE,199558.81,2025-12-11,2025-12-11,2025-12-20,2025-12-20
USR_B0372D80,TRUE,193732.2,2025-11-11,2025-11-11,2025-11-20,2025-11-20
USR_B0372D80,TRUE,417806.25,2025-10-11,2025-10-11,2025-10-20,2025-10-20
USR_B0372D80,TRUE,986896.84,2025-09-11,2025-09-11,2025-09-20,2025-09-20
USR_B0372D80,TRUE,503636.88,2025-08-11,2025-08-11,2025-08-20,2025-08-20
USR_C277F95C,TRUE,823966.43,2025-12-11,2025-12-11,2025-12-20,2025-12-20
USR_C277F95C,TRUE,536037.43,2025-12-11,2025-12-11,2025-12-20,2025-12-20
USR_C277F95C,TRUE,618139.22,2025-11-11,2025-11-11,2025-11-20,2025-11-20
USR_C277F95C,TRUE,315847.24,2025-10-11,2025-10-11,2025-10-20,2025-10-20
USR_C277F95C,TRUE,296044.56,2025-09-11,2025-09-11,2025-09-20,2025-09-20
USR_C277F95C,TRUE,471047.92,2025-08-11,2025-08-11,2025-08-20,2025-08-20
USR_536D8DBC,TRUE,444564.11,2025-12-11,2025-12-11,2025-12-20,2025-12-20
USR_536D8DBC,TRUE,122367.35,2025-12-11,2025-12-11,2025-12-20,2025-12-20
USR_536D8DBC,TRUE,628440.31,2025-11-11,2025-11-11,2025-11-20,2025-11-20
USR_536D8DBC,TRUE,162928.83,2025-10-11,2025-10-11,2025-10-20,2025-10-20
USR_536D8DBC,TRUE,451103.03,2025-09-11,2025-09-11,2025-09-20,2025-09-20
USR_536D8DBC,TRUE,711972.93,2025-08-11,2025-08-11,2025-08-20,2025-08-20
USR_144D97CC,FALSE,607691.28,2025-12-11,2025-12-20,2025-12-20,2025-12-30
USR_144D97CC,FALSE,324081.76,2025-12-11,2025-12-27,2025-12-20,2026-01-19
USR_144D97CC,FALSE,461090.08,2025-11-11,2025-12-07,2025-11-20,2025-12-20
USR_144D97CC,FALSE,550220.85,2025-10-11,2025-10-17,2025-10-20,2025-10-27
USR_144D97CC,FALSE,752789.97,2025-09-11,2025-09-22,2025-09-20,2025-10-07
USR_144D97CC,FALSE,423392.06,2025-08-11,2025-08-14,2025-08-20,2025-08-26
USR_7D1D64FB,TRUE,417636.38,2025-12-11,2025-12-11,2025-12-20,2025-12-20
USR_7D1D64FB,TRUE,907206.12,2025-12-11,2025-12-11,2025-12-20,2025-12-20
USR_7D1D64FB,TRUE,579320.5,2025-11-11,2025-11-11,2025-11-20,2025-11-20
USR_7D1D64FB,TRUE,237899.38,2025-10-11,2025-10-11,2025-10-20,2025-10-20
USR_7D1D64FB,TRUE,166100.5,2025-09-11,2025-09-11,2025-09-20,2025-09-20
USR_7D1D64FB,TRUE,853007.74,2025-08-11,2025-08-11,2025-08-20,2025-08-20
USR_50B8873A,FALSE,369193.84,2025-12-11,2025-12-22,2025-12-20,2026-01-05
USR_50B8873A,FALSE,834836.71,2025-12-11,2025-12-26,2025-12-20,2026-01-01
USR_50B8873A,FALSE,502098.06,2025-11-11,2025-11-14,2025-11-20,2025-12-13
USR_50B8873A,FALSE,155790.77,2025-10-11,2025-11-07,2025-10-20,2025-11-12
USR_50B8873A,FALSE,534739.38,2025-09-11,2025-10-05,2025-09-20,2025-10-14
USR_50B8873A,FALSE,278710.68,2025-08-11,2025-08-17,2025-08-20,2025-09-11
USR_71C56D1A,FALSE,414671.66,2025-12-11,2025-12-19,2025-12-20,2026-01-15
USR_71C56D1A,FALSE,393697.48,2025-12-11,2026-01-08,2025-12-20,2026-01-18
USR_71C56D1A,FALSE,525355.0,2025-11-11,2025-12-07,2025-11-20,2025-12-13
USR_71C56D1A,FALSE,792718.84,2025-10-11,2025-10-30,2025-10-20,2025-11-09
USR_71C56D1A,FALSE,381806.49,2025-09-11,2025-09-21,2025-09-20,2025-09-30
USR_71C56D1A,FALSE,142171.22,2025-08-11,2025-08-30,2025-08-20,2025-08-31
USR_797D7C17,TRUE,451549.74,2025-12-11,2025-12-11,2025-12-20,2025-12-20
USR_797D7C17,TRUE,329637.11,2025-12-11,2025-12-11,2025-12-20,2025-12-20
USR_797D7C17,TRUE,294556.53,2025-11-11,2025-11-11,2025-11-20,2025-11-20
USR_797D7C17,TRUE,510681.09,2025-10-11,2025-10-11,2025-10-20,2025-10-20
USR_797D7C17,TRUE,864674.41,2025-09-11,2025-09-11,2025-09-20,2025-09-20
USR_797D7C17,TRUE,163920.06,2025-08-11,2025-08-11,2025-08-20,2025-08-20
USR_63FEA3D7,FALSE,381745.58,2025-12-11,2025-12-25,2025-12-20,2025-12-31
USR_63FEA3D7,FALSE,931546.39,2025-12-11,2025-12-24,2025-12-20,2026-01-19
USR_63FEA3D7,FALSE,718783.76,2025-11-11,2025-12-01,2025-11-20,2025-12-03
USR_63FEA3D7,FALSE,223883.83,2025-10-11,2025-11-10,2025-10-20,2025-11-14
USR_63FEA3D7,FALSE,187095.25,2025-09-11,2025-09-20,2025-09-20,2025-10-11
USR_63FEA3D7,FALSE,185879.78,2025-08-11,2025-08-22,2025-08-20,2025-08-25
USR_DD8D717A,TRUE,903993.48,2025-12-11,2025-12-11,2025-12-20,2025-12-20
USR_DD8D717A,TRUE,923753.39,2025-12-11,2025-12-11,2025-12-20,2025-12-20
USR_DD8D717A,TRUE,552778.96,2025-11-11,2025-11-11,2025-11-20,2025-11-20
USR_DD8D717A,TRUE,387191.59,2025-10-11,2025-10-11,2025-10-20,2025-10-20
USR_DD8D717A,TRUE,283059.4,2025-09-11,2025-09-11,2025-09-20,2025-09-20
USR_DD8D717A,TRUE,950426.15,2025-08-11,2025-08-11,2025-08-20,2025-08-20
USR_AFC2D29C,TRUE,262380.94,2025-12-11,2025-12-11,2025-12-20,2025-12-20
USR_AFC2D29C,TRUE,736273.14,2025-12-11,2025-12-11,2025-12-20,2025-12-20
USR_AFC2D29C,TRUE,384311.12,2025-11-11,2025-11-11,2025-11-20,2025-11-20
USR_AFC2D29C,TRUE,370360.77,2025-10-11,2025-10-11,2025-10-20,2025-10-20
USR_AFC2D29C,TRUE,440480.41,2025-09-11,2025-09-11,2025-09-20,2025-09-20
USR_AFC2D29C,TRUE,846413.77,2025-08-11,2025-08-11,2025-08-20,2025-08-20
USR_21BFAD9E,TRUE,593995.07,2025-12-11,2025-12-11,2025-12-20,2025-12-20
USR_21BFAD9E,TRUE,944751.64,2025-12-11,2025-12-11,2025-12-20,2025-12-20
USR_21BFAD9E,TRUE,233993.15,2025-11-11,2025-11-11,2025-11-20,2025-11-20
USR_21BFAD9E,TRUE,365369.43,2025-10-11,2025-10-11,2025-10-20,2025-10-20
USR_21BFAD9E,TRUE,825684.17,2025-09-11,2025-09-11,2025-09-20,2025-09-20
USR_21BFAD9E,TRUE,137903.99,2025-08-11,2025-08-11,2025-08-20,2025-08-20
USR_5B908408,TRUE,619935.98,2025-12-11,2025-12-11,2025-12-20,2025-12-20
USR_5B908408,TRUE,238338.27,2025-12-11,2025-12-11,2025-12-20,2025-12-20
USR_5B908408,TRUE,216801.46,2025-11-11,2025-11-11,2025-11-20,2025-11-20
USR_5B908408,TRUE,759674.47,2025-10-11,2025-10-11,2025-10-20,2025-10-20
USR_5B908408,TRUE,804444.45,2025-09-11,2025-09-11,2025-09-20,2025-09-20
USR_5B908408,TRUE,129271.52,2025-08-11,2025-08-11,2025-08-20,2025-08-20
USR_A2F9D7FE,TRUE,665118.22,2025-12-11,2025-12-11,2025-12-20,2025-12-20
USR_A2F9D7FE,TRUE,722925.7,2025-12-11,2025-12-11,2025-12-20,2025-12-20
USR_A2F9D7FE,TRUE,709446.47,2025-11-11,2025-11-11,2025-11-20,2025-11-20
USR_A2F9D7FE,TRUE,541289.49,2025-10-11,2025-10-11,2025-10-20,2025-10-20
USR_A2F9D7FE,TRUE,344706.72,2025-09-11,2025-09-11,2025-09-20,2025-09-20
USR_A2F9D7FE,TRUE,889633.35,2025-08-11,2025-08-11,2025-08-20,2025-08-20
USR_97505443,TRUE,569834.01,2025-12-11,2025-12-11,2025-12-20,2025-12-20
USR_97505443,TRUE,282796.84,2025-12-11,2025-12-11,2025-12-20,2025-12-20
USR_97505443,TRUE,547780.36,2025-11-11,2025-11-11,2025-11-20,2025-11-20
USR_97505443,TRUE,412909.37,2025-10-11,2025-10-11,2025-10-20,2025-10-20
USR_97505443,TRUE,619826.0,2025-09-11,2025-09-11,2025-09-20,2025-09-20
USR_97505443,TRUE,896219.25,2025-08-11,2025-08-11,2025-08-20,2025-08-20
USR_528DE5D0,TRUE,349403.94,2025-12-11,2025-12-11,2025-12-20,2025-12-20
USR_528DE5D0,TRUE,473935.46,2025-12-11,2025-12-11,2025-12-20,2025-12-20
USR_528DE5D0,TRUE,697474.26,2025-11-11,2025-11-11,2025-11-20,2025-11-20
USR_528DE5D0,TRUE,526041.91,2025-10-11,2025-10-11,2025-10-20,2025-10-20
USR_528DE5D0,TRUE,706731.31,2025-09-11,2025-09-11,2025-09-20,2025-09-20
USR_528DE5D0,TRUE,544062.49,2025-08-11,2025-08-11,2025-08-20,2025-08-20
USR_47D0FF5B,TRUE,225880.34,2025-12-11,2025-12-11,2025-12-20,2025-12-20
USR_47D0FF5B,TRUE,242172.82,2025-12-11,2025-12-11,2025-12-20,2025-12-20
USR_47D0FF5B,TRUE,664415.17,2025-11-11,2025-11-11,2025-11-20,2025-11-20
USR_47D0FF5B,TRUE,410110.73,2025-10-11,2025-10-11,2025-10-20,2025-10-20
USR_47D0FF5B,TRUE,588509.62,2025-09-11,2025-09-11,2025-09-20,2025-09-20
USR_47D0FF5B,TRUE,250108.88,2025-08-11,2025-08-11,2025-08-20,2025-08-20
USR_86269C65,FALSE,190682.84,2025-12-11,2025-12-15,2025-12-20,2026-01-16
USR_86269C65,FALSE,777399.54,2025-12-11,2025-12-23,2025-12-20,2026-01-09
USR_86269C65,FALSE,528002.03,2025-11-11,2025-11-17,2025-11-20,2025-11-24
USR_86269C65,FALSE,557101.28,2025-10-11,2025-10-12,2025-10-20,2025-10-21
USR_86269C65,FALSE,757925.48,2025-09-11,2025-10-05,2025-09-20,2025-10-19
USR_86269C65,FALSE,784321.53,2025-08-11,2025-09-07,2025-08-20,2025-08-27
USR_EC25A69C,TRUE,965975.68,2025-12-11,2025-12-11,2025-12-20,2025-12-20
USR_EC25A69C,TRUE,415620.72,2025-12-11,2025-12-11,2025-12-20,2025-12-20
USR_EC25A69C,TRUE,946772.1,2025-11-11,2025-11-11,2025-11-20,2025-11-20
USR_EC25A69C,TRUE,264833.53,2025-10-11,2025-10-11,2025-10-20,2025-10-20
USR_EC25A69C,TRUE,937480.81,2025-09-11,2025-09-11,2025-09-20,2025-09-20
USR_EC25A69C,TRUE,177654.87,2025-08-11,2025-08-11,2025-08-20,2025-08-20
USR_DFD4FA0F,TRUE,665634.66,2025-12-11,2025-12-11,2025-12-20,2025-12-20
USR_DFD4FA0F,TRUE,490726.85,2025-12-11,2025-12-11,2025-12-20,2025-12-20
USR_DFD4FA0F,TRUE,627045.71,2025-11-11,2025-11-11,2025-11-20,2025-11-20
USR_DFD4FA0F,TRUE,216494.01,2025-10-11,2025-10-11,2025-10-20,2025-10-20
USR_DFD4FA0F,TRUE,200989.88,2025-09-11,2025-09-11,2025-09-20,2025-09-20
USR_DFD4FA0F,TRUE,831746.3,2025-08-11,2025-08-11,2025-08-20,2025-08-20
USR_76866BCF,FALSE,813286.58,2025-12-11,2025-12-15,2025-12-20,2025-12-29
USR_76866BCF,FALSE,123810.98,2025-12-11,2025-12-24,2025-12-20,2026-01-09
USR_76866BCF,FALSE,105114.58,2025-11-11,2025-11-24,2025-11-20,2025-11-27
USR_76866BCF,FALSE,103275.25,2025-10-11,2025-10-21,2025-10-20,2025-10-29
USR_76866BCF,FALSE,200493.17,2025-09-11,2025-09-30,2025-09-20,2025-10-13
USR_76866BCF,FALSE,786698.03,2025-08-11,2025-08-27,2025-08-20,2025-09-04
USR_89B08D42,TRUE,535506.7,2025-12-11,2025-12-11,2025-12-20,2025-12-20
USR_89B08D42,TRUE,875157.86,2025-12-11,2025-12-11,2025-12-20,2025-12-20
USR_89B08D42,TRUE,281714.08,2025-11-11,2025-11-11,2025-11-20,2025-11-20
USR_89B08D42,TRUE,387850.49,2025-10-11,2025-10-11,2025-10-20,2025-10-20
USR_89B08D42,TRUE,118812.25,2025-09-11,2025-09-11,2025-09-20,2025-09-20
USR_89B08D42,TRUE,863385.52,2025-08-11,2025-08-11,2025-08-20,2025-08-20
USR_56F4EF6F,TRUE,597799.34,2025-12-11,2025-12-11,2025-12-20,2025-12-20
USR_56F4EF6F,TRUE,843294.91,2025-12-11,2025-12-11,2025-12-20,2025-12-20
USR_56F4EF6F,TRUE,904461.23,2025-11-11,2025-11-11,2025-11-20,2025-11-20
USR_56F4EF6F,TRUE,323334.83,2025-10-11,2025-10-11,2025-10-20,2025-10-20
USR_56F4EF6F,TRUE,714005.69,2025-09-11,2025-09-11,2025-09-20,2025-09-20
USR_56F4EF6F,TRUE,301228.16,2025-08-11,2025-08-11,2025-08-20,2025-08-20
USR_3D4283C2,TRUE,145190.85,2025-12-11,2025-12-11,2025-12-20,2025-12-20
USR_3D4283C2,TRUE,931733.14,2025-12-11,2025-12-11,2025-12-20,2025-12-20
USR_3D4283C2,TRUE,988022.94,2025-11-11,2025-11-11,2025-11-20,2025-11-20
USR_3D4283C2,TRUE,537804.49,2025-10-11,2025-10-11,2025-10-20,2025-10-20
USR_3D4283C2,TRUE,220329.3,2025-09-11,2025-09-11,2025-09-20,2025-09-20
USR_3D4283C2,TRUE,868455.49,2025-08-11,2025-08-11,2025-08-20,2025-08-20
USR_642692A8,TRUE,476195.0,2025-12-11,2025-12-11,2025-12-20,2025-12-20
USR_642692A8,TRUE,575669.48,2025-12-11,2025-12-11,2025-12-20,2025-12-20
USR_642692A8,TRUE,608071.88,2025-11-11,2025-11-11,2025-11-20,2025-11-20
USR_642692A8,TRUE,364045.16,2025-10-11,2025-10-11,2025-10-20,2025-10-20
USR_642692A8,TRUE,161354.66,2025-09-11,2025-09-11,2025-09-20,2025-09-20
USR_642692A8,TRUE,702882.27,2025-08-11,2025-08-11,2025-08-20,2025-08-20
USR_A0998620,FALSE,227093.37,2025-12-11,2025-12-19,2025-12-20,2025-12-29
USR_A0998620,FALSE,666165.33,2025-12-11,2025-12-13,2025-12-20,2026-01-07
USR_A0998620,FALSE,497596.86,2025-11-11,2025-12-05,2025-11-20,2025-12-10
USR_A0998620,FALSE,709653.78,2025-10-11,2025-11-09,2025-10-20,2025-11-15
USR_A0998620,FALSE,495941.28,2025-09-11,2025-10-04,2025-09-20,2025-10-04
USR_A0998620,FALSE,140107.93,2025-08-11,2025-09-02,2025-08-20,2025-08-30
USR_09A26730,TRUE,104259.31,2025-12-11,2025-12-11,2025-12-20,2025-12-20
USR_09A26730,TRUE,557543.49,2025-12-11,2025-12-11,2025-12-20,2025-12-20
USR_09A26730,TRUE,865609.15,2025-11-11,2025-11-11,2025-11-20,2025-11-20
USR_09A26730,TRUE,321151.68,2025-10-11,2025-10-11,2025-10-20,2025-10-20
USR_09A26730,TRUE,453181.48,2025-09-11,2025-09-11,2025-09-20,2025-09-20
USR_09A26730,TRUE,510828.87,2025-08-11,2025-08-11,2025-08-20,2025-08-20
USR_F7ECCD31,TRUE,115781.61,2025-12-11,2025-12-11,2025-12-20,2025-12-20
USR_F7ECCD31,TRUE,290971.73,2025-12-11,2025-12-11,2025-12-20,2025-12-20
USR_F7ECCD31,TRUE,755595.02,2025-11-11,2025-11-11,2025-11-20,2025-11-20
USR_F7ECCD31,TRUE,661692.47,2025-10-11,2025-10-11,2025-10-20,2025-10-20
USR_F7ECCD31,TRUE,900757.53,2025-09-11,2025-09-11,2025-09-20,2025-09-20
USR_F7ECCD31,TRUE,501247.25,2025-08-11,2025-08-11,2025-08-20,2025-08-20
USR_ABF6842D,FALSE,910345.12,2025-12-11,2025-12-14,2025-12-20,2025-12-21
USR_ABF6842D,FALSE,164849.72,2025-12-11,2026-01-10,2025-12-20,2025-12-30
USR_ABF6842D,FALSE,141815.73,2025-11-11,2025-11-12,2025-11-20,2025-12-14
USR_ABF6842D,FALSE,639692.67,2025-10-11,2025-11-06,2025-10-20,2025-11-16
USR_ABF6842D,FALSE,834281.58,2025-09-11,2025-09-24,2025-09-20,2025-10-02
USR_ABF6842D,FALSE,862419.45,2025-08-11,2025-08-22,2025-08-20,2025-09-11
USR_11E05C5D,TRUE,681273.11,2025-12-11,2025-12-11,2025-12-20,2025-12-20
USR_11E05C5D,TRUE,386427.97,2025-12-11,2025-12-11,2025-12-20,2025-12-20
USR_11E05C5D,TRUE,686248.51,2025-11-11,2025-11-11,2025-11-20,2025-11-20
USR_11E05C5D,TRUE,558933.97,2025-10-11,2025-10-11,2025-10-20,2025-10-20
USR_11E05C5D,TRUE,794045.35,2025-09-11,2025-09-11,2025-09-20,2025-09-20
USR_11E05C5D,TRUE,794410.19,2025-08-11,2025-08-11,2025-08-20,2025-08-20
USR_FEF4222C,TRUE,868941.37,2025-12-11,2025-12-11,2025-12-20,2025-12-20
USR_FEF4222C,TRUE,526393.79,2025-12-11,2025-12-11,2025-12-20,2025-12-20
USR_FEF4222C,TRUE,985834.08,2025-11-11,2025-11-11,2025-11-20,2025-11-20
USR_FEF4222C,TRUE,867065.0,2025-10-11,2025-10-11,2025-10-20,2025-10-20
USR_FEF4222C,TRUE,100879.47,2025-09-11,2025-09-11,2025-09-20,2025-09-20
USR_FEF4222C,TRUE,426479.69,2025-08-11,2025-08-11,2025-08-20,2025-08-20
USR_FFCCF85F,TRUE,665479.49,2025-12-11,2025-12-11,2025-12-20,2025-12-20
USR_FFCCF85F,TRUE,416256.65,2025-12-11,2025-12-11,2025-12-20,2025-12-20
USR_FFCCF85F,TRUE,523492.91,2025-11-11,2025-11-11,2025-11-20,2025-11-20
USR_FFCCF85F,TRUE,739864.94,2025-10-11,2025-10-11,2025-10-20,2025-10-20
USR_FFCCF85F,TRUE,749979.25,2025-09-11,2025-09-11,2025-09-20,2025-09-20
USR_FFCCF85F,TRUE,577101.95,2025-08-11,2025-08-11,2025-08-20,2025-08-20
USR_6758B795,TRUE,255974.01,2025-12-11,2025-12-11,2025-12-20,2025-12-20
USR_6758B795,TRUE,673715.75,2025-12-11,2025-12-11,2025-12-20,2025-12-20
USR_6758B795,TRUE,548521.0,2025-11-11,2025-11-11,2025-11-20,2025-11-20
USR_6758B795,TRUE,683237.65,2025-10-11,2025-10-11,2025-10-20,2025-10-20
USR_6758B795,TRUE,297169.49,2025-09-11,2025-09-11,2025-09-20,2025-09-20
USR_6758B795,TRUE,794550.59,2025-08-11,2025-08-11,2025-08-20,2025-08-20
USR_E58906B6,TRUE,513909.29,2025-12-11,2025-12-11,2025-12-20,2025-12-20
USR_E58906B6,TRUE,444548.6,2025-12-11,2025-12-11,2025-12-20,2025-12-20
USR_E58906B6,TRUE,699861.51,2025-11-11,2025-11-11,2025-11-20,2025-11-20
USR_E58906B6,TRUE,619791.8,2025-10-11,2025-10-11,2025-10-20,2025-10-20
USR_E58906B6,TRUE,389644.01,2025-09-11,2025-09-11,2025-09-20,2025-09-20
USR_E58906B6,TRUE,554951.98,2025-08-11,2025-08-11,2025-08-20,2025-08-20
USR_C731EBC5,TRUE,958499.85,2025-12-11,2025-12-11,2025-12-20,2025-12-20
USR_C731EBC5,TRUE,464853.26,2025-12-11,2025-12-11,2025-12-20,2025-12-20
USR_C731EBC5,TRUE,788797.81,2025-11-11,2025-11-11,2025-11-20,2025-11-20
USR_C731EBC5,TRUE,184311.68,2025-10-11,2025-10-11,2025-10-20,2025-10-20
USR_C731EBC5,TRUE,748909.22,2025-09-11,2025-09-11,2025-09-20,2025-09-20
USR_C731EBC5,TRUE,111727.28,2025-08-11,2025-08-11,2025-08-20,2025-08-20
USR_F75C7C25,TRUE,696713.11,2025-12-11,2025-12-11,2025-12-20,2025-12-20
USR_F75C7C25,TRUE,419130.88,2025-12-11,2025-12-11,2025-12-20,2025-12-20
USR_F75C7C25,TRUE,230109.32,2025-11-11,2025-11-11,2025-11-20,2025-11-20
